,BMI,age,birthday,city,married,name
37,19.37,38,2002-07-27,Cierraview,yes,Shaniya Bradtke
38,26.48,26,1975-12-17,Keshaunberg,yes,Mr. Maynard Bauch
39,18.12,45,1991-04-06,Reichelland,no,Hermann Heidenreich
40,20.46,25,1986-10-04,Kuphalmouth,yes,Jayson Runolfsdottir
41,21.73,15,1973-11-23,New Norris,yes,Abby O'Keefe
42,20.31,22,2010-05-26,Moniqueville,no,Walton Sawayn
43,22.71,41,1992-05-08,Kertzmanntown,yes,Petra Zemlak Jr.
44,20.55,14,2004-07-27,Ilenestad,yes,Moises Batz
45,21.02,40,1977-08-27,Port Luna,yes,Easter Fahey
46,29.95,14,2005-06-12,South Elody,no,Alexandro Hintz
47,19.56,27,1995-01-01,Larrybury,yes,Eloise Hahn
48,25.1,32,1977-08-08,Rebatown,no,May Sipes
49,25.81,24,2000-05-18,South Dolores,yes,Cornelius Leuschke
50,27.92,35,1983-05-27,New Yolanda,yes,Lulu Schumm
51,15.05,47,1977-12-20,Raynorfurt,no,Stefanie Schuster
52,23.59,27,2012-06-20,New Marty,yes,Kaylin Stanton
53,18.64,42,1982-04-23,North Melodyview,yes,Kayli Zulauf I
54,24.02,34,1991-03-26,Hassieside,no,Dena Kuvalis
55,27.93,22,1989-10-24,South Marina,no,Amanda McLaughlin
56,29.36,31,1983-12-18,Jorgemouth,yes,Dr. Jayde Runolfsdottir III
57,18.52,38,1987-07-10,Josefaport,yes,Roberta Walker
58,22.0,30,2004-12-19,Dareport,no,Mazie Lockman
59,25.8,35,1988-04-02,Thomasshire,yes,Miss Kristy Quigley
60,22.58,33,1986-04-19,North Reaganshire,no,Porter Lang
61,26.49,47,1970-06-15,New Donavonborough,no,Miss Carmine Schuster
62,25.16,18,2000-12-21,Olenport,no,Dr. Joanny Rau Jr.
63,20.7,32,1970-09-05,South Monserratside,yes,Ms. Llewellyn Greenfelder
64,21.59,17,1992-06-09,Lake Tyrique,yes,Cathy Huels
65,25.97,15,2012-10-05,Adityaberg,no,Ms. Aletha Streich MD
66,20.92,41,1993-12-16,New Arnaldo,yes,Aurelia Gorczany
67,19.7,24,2013-09-15,Roobside,no,Mohammad Hilpert
68,17.09,27,1981-04-28,Brakusland,no,Sebastian Hagenes
69,18.12,11,1992-02-14,Hershelland,yes,Magnolia Murazik V
70,21.06,22,1979-03-31,Lake Catherine,no,Hollis Smith
71,29.29,28,1990-03-23,New Mylenestad,yes,Ms. Reece Mraz I
72,26.94,48,2004-06-20,Lake Wilton,no,Kiley Hodkiewicz PhD
73,17.22,16,2012-12-23,South Gerald,yes,Dora Ortiz Sr.
74,17.68,11,2003-08-28,New Brooksport,no,Ethan Heathcote
75,25.17,46,1972-08-01,New Heloiseton,no,Ms. Albin Schoen DVM
76,21.26,16,1997-05-09,North Timmyland,no,Mrs. Adolfo McLaughlin Jr.
77,20.14,12,2006-04-14,East Devyn,no,Stella Roob
78,23.93,39,2005-11-26,Humbertofurt,yes,Mr. Kirsten Farrell PhD
79,22.75,25,1999-11-26,North Eulalia,no,Precious Bogisich
80,20.35,40,2008-08-30,South Constantinstad,yes,Delta Brown
81,22.89,14,2001-01-14,Port Enahaven,yes,Adeline Conroy
82,24.18,13,1977-08-23,Justenfurt,no,Dr. Breanna Kautzer III
83,25.03,34,2003-06-05,Whitemouth,no,Glen Witting
84,26.96,42,1972-04-07,Vonfurt,yes,Stacy Monahan
85,18.19,23,1979-07-29,New Myriam,yes,Kailey Considine
86,17.11,29,1996-01-19,Adalbertoton,yes,Miss Jalyn Bechtelar
87,24.55,16,1979-02-24,East Leopold,yes,Helena Homenick
88,15.08,18,1987-03-09,Blockburgh,no,Tyler Kerluke
89,17.63,43,1996-01-19,New Vernerhaven,yes,Ana Leffler
90,27.13,14,1992-11-06,Lake Dominiqueton,no,Eloise Jast
91,26.49,13,1987-07-23,West Alexis,yes,Dulce Schroeder Sr.
92,18.18,12,1993-06-26,New Jeromeview,no,Filomena Vandervort
93,19.2,25,1992-12-27,Morissetteborough,no,Mr. Myrl Hodkiewicz
94,24.09,22,1974-07-26,Gloverhaven,no,Fabiola Emmerich V
95,17.38,31,2010-09-20,East Janelle,no,Dr. Jennings Reinger
96,23.74,14,1986-11-18,Huelborough,no,Ms. Brionna Hand III
97,22.14,26,2005-08-08,North Dedrickchester,no,Dr. Emmitt Satterfield I
98,16.87,48,2000-01-03,Brodymouth,no,Josiah Yost I
99,29.62,20,2010-04-13,Schoenberg,no,Evangeline Upton
